type_building,var1_mean,var1_std_dev,var2_mean,var2_std_dev
RefBldgFullServiceRestaurantNew2004,0.0,6.226847617995355,19.4245,7.265026930686958
RefBldgFullServiceRestaurantNew2004,0.001580255306955,6.596764437878847,19.4245,7.265026930686958
RefBldgFullServiceRestaurantNew2004,0.002567618170115,7.14603343872841,19.4245,7.265026930686958
RefBldgFullServiceRestaurantNew2004,0.0,4.688730267288192,19.4245,7.265026930686958
RefBldgFullServiceRestaurantNew2004,0.0,4.797244672875616,19.4245,7.265026930686958
RefBldgHospitalNew2004,511.932392293,133.90788119681312,199.110933808,81.75482074325413
RefBldgHospitalNew2004,509.8770337255,118.92587192702547,199.110933808,81.75482074325413
RefBldgHospitalNew2004,503.985616577,117.05557594589789,199.110933808,81.75482074325413
RefBldgHospitalNew2004,466.3109701965,170.93649427782938,199.110933808,81.75482074325413
RefBldgHospitalNew2004,465.0397856965,147.21266750558482,199.110933808,81.75482074325413
RefBldgLargeHotelNew2004,103.8882322905,43.092107182949086,65.7244621605,23.1040293936853
RefBldgLargeHotelNew2004,112.9256513915,40.70876479796132,65.7244621605,23.1040293936853
RefBldgLargeHotelNew2004,116.1829421715,40.701394784742604,65.7244621605,23.1040293936853
RefBldgLargeHotelNew2004,86.7364578024,43.19960599707422,65.7244621605,23.1040293936853
RefBldgLargeHotelNew2004,85.9349413381,42.52287513926799,65.7244621605,23.1040293936853
RefBldgLargeOfficeNew2004,51.47209928145,188.343921805847,199.362908273,116.53948080077903
RefBldgLargeOfficeNew2004,63.6967119575,194.70231693696982,199.362908273,116.53948080077903
RefBldgLargeOfficeNew2004,84.1371461282,199.37114619484583,199.362908273,116.53948080077903
RefBldgLargeOfficeNew2004,0.0,181.6235227474356,199.362908273,116.53948080077903
RefBldgLargeOfficeNew2004,0.0,177.6276986123443,199.362908273,116.53948080077903
RefBldgMediumOfficeNew2004,0.280773272952,19.70853179776748,21.4433280938,19.076902634554123
RefBldgMediumOfficeNew2004,0.38049310080050003,20.76975123934115,21.4433280938,19.076902634554123
RefBldgMediumOfficeNew2004,1.1610447598,21.710670170256403,21.4433280938,19.076902634554123
RefBldgMediumOfficeNew2004,0.0,16.83951902474136,21.4433280938,19.076902634554123
RefBldgMediumOfficeNew2004,0.0,16.611647629702063,21.4433280938,19.076902634554123
RefBldgMidriseApartmentNew2004,0.624728487303,6.4259471047663865,13.7021493968,4.9287496416607155
RefBldgMidriseApartmentNew2004,1.06650214784,6.640580365042623,13.7021493968,4.9287496416607155
RefBldgMidriseApartmentNew2004,1.250784302225,7.035791155567295,13.7021493968,4.9287496416607155
RefBldgMidriseApartmentNew2004,0.2879804218405,4.973015906033582,13.7021493968,4.9287496416607155
RefBldgMidriseApartmentNew2004,0.2142703544995,5.230182776603035,13.7021493968,4.9287496416607155
RefBldgOutPatientNew2004,27.6756948242,27.12958018847339,41.7362269337,41.52843385905275
RefBldgOutPatientNew2004,31.0089119629,27.525131402155576,41.7362269337,41.52843385905275
RefBldgOutPatientNew2004,33.22076050295,28.443752630161868,41.7362269337,41.52843385905275
RefBldgOutPatientNew2004,20.027280629899998,25.73011898217894,41.7362269337,41.52843385905275
RefBldgOutPatientNew2004,19.9017506906,24.546221762194033,41.7362269337,41.52843385905275
RefBldgPrimarySchoolNew2004,0.0,31.31710132479972,29.242365,19.674912981219517
RefBldgPrimarySchoolNew2004,0.0,33.05556949808031,29.242365,19.674912981219517
RefBldgPrimarySchoolNew2004,0.0,35.30532745388682,29.242365,19.674912981219517
RefBldgPrimarySchoolNew2004,0.0,24.148042856191207,29.242365,19.674912981219517
RefBldgPrimarySchoolNew2004,0.0,24.1078919076476,29.242365,19.674912981219517
RefBldgQuickServiceRestaurantNew2004,0.0,2.691449507515571,13.077,4.992903556544367
RefBldgQuickServiceRestaurantNew2004,0.0,2.8446297526349027,13.077,4.992903556544367
RefBldgQuickServiceRestaurantNew2004,0.0,3.1035769715162105,13.077,4.992903556544367
RefBldgQuickServiceRestaurantNew2004,0.0,1.980352859279279,13.077,4.992903556544367
RefBldgQuickServiceRestaurantNew2004,0.0,2.0339108325187483,13.077,4.992903556544367
RefBldgSecondarySchoolNew2004,0.001237558312255,249.20200869015304,52.539744,39.11787452428977
RefBldgSecondarySchoolNew2004,0.0,257.03574494826853,52.539744,39.11787452428977
RefBldgSecondarySchoolNew2004,0.00152878892202,264.9720458513067,52.539744,39.11787452428977
RefBldgSecondarySchoolNew2004,0.0,225.36345550586947,52.539744,39.11787452428977
RefBldgSecondarySchoolNew2004,0.0,221.91273292886885,52.539744,39.11787452428977
RefBldgSmallHotelNew2004,7.402792884335,11.305299049830236,23.2517909448,12.050635433131463
RefBldgSmallHotelNew2004,8.82766289615,11.565513259905838,23.2517909448,12.050635433131463
RefBldgSmallHotelNew2004,9.441167982340001,12.187037406677767,23.2517909448,12.050635433131463
RefBldgSmallHotelNew2004,5.978863714699999,9.624540786202951,23.2517909448,12.050635433131463
RefBldgSmallHotelNew2004,5.755436183895,9.802024059785444,23.2517909448,12.050635433131463
RefBldgSmallOfficeNew2004,0.0,1.5165064787883993,2.2000214496,1.278150736125242
RefBldgSmallOfficeNew2004,0.0,1.5834509618755246,2.2000214496,1.278150736125242
RefBldgSmallOfficeNew2004,0.0,1.6593482172610394,2.2000214496,1.278150736125242
RefBldgSmallOfficeNew2004,0.0,1.201939120039564,2.2000214496,1.278150736125242
RefBldgSmallOfficeNew2004,0.0,1.2061218343483142,2.2000214496,1.278150736125242
RefBldgStand-aloneRetailNew2004,0.0,10.064602260547922,5.9839097835,3.831091405543027
RefBldgStand-aloneRetailNew2004,0.0,10.484037757357573,5.9839097835,3.831091405543027
RefBldgStand-aloneRetailNew2004,0.0,11.268385612367652,5.9839097835,3.831091405543027
RefBldgStand-aloneRetailNew2004,0.0,7.199910695310333,5.9839097835,3.831091405543027
RefBldgStand-aloneRetailNew2004,0.0,7.354131084384009,5.9839097835,3.831091405543027
RefBldgStripMallNew2004,0.0,9.540207451650204,4.49418456,2.87732142790922
RefBldgStripMallNew2004,0.0,9.920112078677667,4.49418456,2.87732142790922
RefBldgStripMallNew2004,0.0,10.65796379555948,4.49418456,2.87732142790922
RefBldgStripMallNew2004,0.0,6.732633092303956,4.49418456,2.87732142790922
RefBldgStripMallNew2004,0.0,6.798158338316003,4.49418456,2.87732142790922
RefBldgSuperMarketNew2004,0.0,9.660384610508983,23.2339557645,14.215430498520323
RefBldgSuperMarketNew2004,0.0,10.198589222637374,23.2339557645,14.215430498520323
RefBldgSuperMarketNew2004,0.0,11.04885411984885,23.2339557645,14.215430498520323
RefBldgSuperMarketNew2004,0.0,6.45362295032571,23.2339557645,14.215430498520323
RefBldgSuperMarketNew2004,0.0,6.825167991334816,23.2339557645,14.215430498520323
RefBldgWarehouseNew2004,0.0,3.5432344830035936,1.0115996781,3.4189238018386643
RefBldgWarehouseNew2004,0.0,3.7784597864644134,1.0115996781,3.4189238018386643
RefBldgWarehouseNew2004,0.0,3.9685063374483964,1.0115996781,3.4189238018386643
RefBldgWarehouseNew2004,0.0,2.5264664318939536,1.0115996781,3.4189238018386643
RefBldgWarehouseNew2004,0.0,2.379628571939244,1.0115996781,3.4189238018386643
